rated,winner,increment_code,white_rating,black_rating,victory_status_draw,victory_status_mate,victory_status_outoftime,victory_status_resign,moves_num,opening_num,midMoves_num,pca1,pca2
1.0,black,0.022222222222222223,0.2531315240083507,0.5671397379912664,0.0,0.0,0.0,1.0,0.06349206349206349,0.037037037037037035,0.2682926829268293,-0.5713484981889518,-0.1561068356686345
1.0,white,0.08333333333333334,0.4237995824634655,0.2663755458515284,0.0,1.0,0.0,0.0,0.2698412698412698,0.1111111111111111,0.4024390243902439,0.856136485056232,-0.15906486041514975
1.0,black,0.19444444444444445,0.3475991649269311,0.4628820960698689,0.0,1.0,0.0,0.0,0.4126984126984127,0.18518518518518517,0.4878048780487805,0.863143235452401,-0.17858078360997473
1.0,black,0.05555555555555556,0.6769311064718163,0.712882096069869,0.0,0.0,0.0,1.0,0.0,0.07407407407407407,0.20731707317073172,-0.6031847360065128,-0.15272248066560745
1.0,draw,0.05555555555555556,0.6743215031315241,0.7281659388646287,1.0,0.0,0.0,0.0,0.5555555555555556,0.25925925925925924,0.5731707317073171,0.20639884289942956,-0.21388177795646682
1.0,black,0.05555555555555556,0.5913361169102297,0.6986899563318776,0.0,0.0,0.0,1.0,0.3492063492063492,0.2222222222222222,0.426829268292683,-0.5678236816284054,-0.197838060184261
1.0,black,0.05555555555555556,0.627348643006263,0.6932314410480349,0.0,0.0,0.0,1.0,0.6190476190476191,0.07407407407407407,0.6829268292682927,-0.5360658657663772,-0.24032649104157616
1.0,white,0.05555555555555556,0.6612734864300626,0.6288209606986899,0.0,1.0,0.0,0.0,0.12698412698412698,0.18518518518518517,0.2682926829268293,0.8134499136339844,-0.14779763348480623
1.0,white,0.05555555555555556,0.656054279749478,0.6539301310043668,0.0,0.0,0.0,1.0,0.6349206349206349,0.18518518518518517,0.6585365853658537,-0.5377341894526394,-0.23926875091288616
1.0,black,0.05555555555555556,0.5824634655532359,0.6795851528384278,0.0,1.0,0.0,0.0,0.06349206349206349,0.18518518518518517,0.21951219512195125,0.8080049694654505,-0.13905437209747898
1.0,black,0.05555555555555556,0.6383089770354905,0.6735807860262009,0.0,0.0,0.0,1.0,0.2857142857142857,0.07407407407407407,0.426829268292683,-0.5702607360976599,-0.19233375087526938
1.0,white,0.05555555555555556,0.6424843423799581,0.5933406113537116,0.0,0.0,0.0,1.0,0.14285714285714285,0.0,0.34146341463414637,-0.5793133473214401,-0.17201085825120002
1.0,black,0.05555555555555556,0.7306889352818372,0.6599344978165937,0.0,0.0,0.0,1.0,0.6349206349206349,0.37037037037037035,0.5975609756097561,-0.5474245423927843,-0.2355619675221407
1.0,white,0.05555555555555556,0.6304801670146137,0.5327510917030567,0.0,0.0,0.0,1.0,0.047619047619047616,0.037037037037037035,0.25609756097560976,-0.5873709637446151,-0.1560229655310328
1.0,black,0.05555555555555556,0.6779749478079332,0.6484716157205239,0.0,0.0,0.0,1.0,0.5396825396825397,0.4444444444444444,0.5,-0.5571298145840019,-0.2193363525606204
1.0,white,0.05555555555555556,0.6189979123173278,0.564410480349345,0.0,0.0,0.0,1.0,0.06349206349206349,0.037037037037037035,0.2682926829268293,-0.5865913347867585,-0.1588759873573201
1.0,white,0.05555555555555556,0.5020876826722338,0.6550218340611353,0.0,0.0,0.0,1.0,0.06349206349206349,0.3333333333333333,0.17073170731707318,-0.59564507322253,-0.15238660546154295
1.0,white,0.05555555555555556,0.6216075156576201,0.6795851528384278,0.0,0.0,0.0,1.0,0.3492063492063492,0.48148148148148145,0.34146341463414637,-0.5771104385681839,-0.19130769650359075
1.0,white,0.05555555555555556,0.6283924843423799,0.6539301310043668,0.0,0.0,0.0,1.0,0.5873015873015872,0.1111111111111111,0.6463414634146342,-0.5389909902106297,-0.2340162169107985
1.0,black,0.05555555555555556,0.5850730688935282,0.6484716157205239,0.0,0.0,0.0,1.0,0.06349206349206349,0.3333333333333333,0.17073170731707318,-0.5988422296015076,-0.15306464009400952
1.0,white,0.05555555555555556,0.6210855949895616,0.46233624454148464,0.0,1.0,0.0,0.0,0.47619047619047616,0.037037037037037035,0.5853658536585367,0.8634852644870801,-0.19733650769035257
1.0,white,0.05555555555555556,0.6205636743215032,0.3329694323144104,0.0,0.0,0.0,1.0,0.1746031746031746,0.25925925925925924,0.2804878048780488,-0.5728515671462512,-0.164192842460945
1.0,black,0.05555555555555556,0.4326722338204593,0.644650655021834,0.0,1.0,0.0,0.0,0.25396825396825395,0.037037037037037035,0.41463414634146345,0.8405686669183423,-0.16770338008824703
1.0,white,0.05555555555555556,0.6153444676409184,0.5720524017467248,0.0,0.0,0.0,1.0,0.2698412698412698,0.18518518518518517,0.3780487804878049,-0.5704085965780932,-0.1848545250954657
1.0,black,0.05555555555555556,0.4321503131524008,0.6391921397379912,0.0,1.0,0.0,0.0,0.47619047619047616,0.0,0.5975609756097561,0.8651327480876244,-0.20027295340009718
1.0,white,0.05555555555555556,0.6111691022964508,0.49508733624454143,0.0,0.0,0.0,1.0,0.20634920634920634,0.2222222222222222,0.3170731707317074,-0.5748044964776485,-0.173123649812489
1.0,white,0.05555555555555556,0.6049060542797494,0.6517467248908295,0.0,1.0,0.0,0.0,0.2698412698412698,0.1111111111111111,0.4024390243902439,0.8321751928906769,-0.1700046184034984
1.0,white,0.05555555555555556,0.5996868475991649,0.5960698689956332,0.0,1.0,0.0,0.0,0.5555555555555556,0.037037037037037035,0.6463414634146342,0.8669205350400069,-0.21141777029524267
1.0,black,0.05555555555555556,0.6978079331941544,0.6222707423580784,0.0,0.0,0.0,1.0,0.4444444444444444,0.07407407407407407,0.5487804878048781,-0.5541059015987901,-0.2144933261672174
1.0,white,0.05555555555555556,0.5908141962421711,0.6299126637554584,0.0,0.0,0.0,1.0,0.6031746031746031,0.2222222222222222,0.6219512195121951,-0.5385334820104184,-0.23263815081642303
1.0,black,0.05555555555555556,0.39979123173277664,0.61353711790393,0.0,0.0,0.0,1.0,0.19047619047619047,0.1111111111111111,0.34146341463414637,-0.5688537076224749,-0.1741136038331536
1.0,white,0.05555555555555556,0.6153444676409184,0.6195414847161571,0.0,0.0,0.0,1.0,0.12698412698412698,0.1111111111111111,0.29268292682926833,-0.5847232668642093,-0.16730166555315315
1.0,white,0.05555555555555556,0.5861169102296451,0.6888646288209606,0.0,1.0,0.0,0.0,0.23809523809523808,0.2222222222222222,0.34146341463414637,0.8243044962827221,-0.16334851115172505
1.0,draw,0.05555555555555556,0.6143006263048015,0.6091703056768558,1.0,0.0,0.0,0.0,0.8253968253968254,0.07407407407407407,0.8414634146341464,0.24827373098661848,-0.25383538035103154
1.0,white,0.05555555555555556,0.5819415448851774,0.49836244541484714,0.0,0.0,0.0,1.0,0.3333333333333333,0.1111111111111111,0.451219512195122,-0.5567641409208491,-0.1938127494309049
1.0,black,0.05555555555555556,0.5835073068893528,0.5987991266375545,0.0,1.0,0.0,0.0,0.39682539682539675,0.14814814814814814,0.4878048780487805,0.8472339509116165,-0.18587105589998223
1.0,white,0.05555555555555556,0.5725469728601252,0.4814410480349344,0.0,1.0,0.0,0.0,0.39682539682539675,0.18518518518518517,0.47560975609756095,0.8514268151007618,-0.1822636535118426
1.0,white,0.05555555555555556,0.5694154488517745,0.48635371179039294,0.0,1.0,0.0,0.0,0.2698412698412698,0.037037037037037035,0.426829268292683,0.8432253590341207,-0.1678439422912866
1.0,white,0.05555555555555556,0.5673277661795406,0.3881004366812227,0.0,0.0,0.0,1.0,0.46031746031746024,0.037037037037037035,0.5731707317073171,-0.5357647772315907,-0.2112319336271564
1.0,black,0.05555555555555556,0.6899791231732776,0.580240174672489,0.0,1.0,0.0,0.0,0.8571428571428571,0.25925925925925924,0.8048780487804879,0.8875216550900383,-0.24959877997855237
1.0,draw,0.05555555555555556,0.5532359081419623,0.7210698689956332,1.0,0.0,0.0,0.0,0.873015873015873,0.18518518518518517,0.8414634146341464,0.2472221258258782,-0.25975612045107627
1.0,white,0.05555555555555556,0.3736951983298539,0.25818777292576417,0.0,1.0,0.0,0.0,0.7619047619047619,0.1111111111111111,0.7804878048780488,0.9096473418915165,-0.2294195708438465
1.0,black,0.08333333333333334,0.5198329853862212,0.5769650655021834,0.0,0.0,0.0,1.0,0.3492063492063492,0.07407407407407407,0.47560975609756095,-0.5546288600153745,-0.1974499925259433
1.0,white,0.08333333333333334,0.5041753653444676,0.5862445414847162,0.0,0.0,0.0,1.0,0.39682539682539675,0.0,0.5365853658536586,-0.546905685873929,-0.20614030171238262
